Time	MLII [mV]	V5 [mV]
0.000	-0.145	-0.065
0.003	-0.145	-0.065
0.006	-0.145	-0.065
0.008	-0.145	-0.065
0.011	-0.145	-0.065
0.014	-0.145	-0.065
0.017	-0.145	-0.065
0.019	-0.145	-0.065
0.022	-0.120	-0.080
0.025	-0.135	-0.080
0.028	-0.145	-0.085
0.031	-0.150	-0.085
0.033	-0.160	-0.075
0.036	-0.155	-0.070
0.039	-0.160	-0.070
0.042	-0.175	-0.065
0.044	-0.180	-0.055
0.047	-0.185	-0.050
0.050	-0.170	-0.050
0.053	-0.155	-0.040
0.056	-0.175	-0.040
0.058	-0.180	-0.055
0.061	-0.190	-0.075
0.064	-0.180	-0.080
0.067	-0.155	-0.085
0.069	-0.135	-0.070
0.072	-0.155	-0.080
0.075	-0.190	-0.080
0.078	-0.205	-0.090
0.081	-0.235	-0.095
0.083	-0.225	-0.090
0.086	-0.245	-0.095
0.089	-0.250	-0.110
0.092	-0.260	-0.120
0.094	-0.275	-0.145
0.097	-0.275	-0.135
0.100	-0.275	-0.105
0.103	-0.265	-0.095
0.106	-0.255	-0.105
0.108	-0.265	-0.120
0.111	-0.275	-0.135
0.114	-0.290	-0.125
0.117	-0.290	-0.125
0.119	-0.290	-0.115
0.122	-0.290	-0.115
0.125	-0.285	-0.125
0.128	-0.295	-0.140
0.131	-0.305	-0.140
0.133	-0.285	-0.130
0.136	-0.275	-0.125
0.139	-0.275	-0.140
0.142	-0.280	-0.145
0.144	-0.285	-0.150
0.147	-0.305	-0.150
0.150	-0.290	-0.130
0.153	-0.300	-0.115
0.156	-0.280	-0.125
0.158	-0.290	-0.135
0.161	-0.300	-0.160
0.164	-0.315	-0.195
0.167	-0.320	-0.200
0.169	-0.335	-0.205
0.172	-0.360	-0.225
0.175	-0.385	-0.255
0.178	-0.385	-0.300
0.181	-0.405	-0.290
0.183	-0.455	-0.235
0.186	-0.485	-0.130
0.189	-0.485	-0.035
0.192	-0.425	0.050
0.194	-0.330	0.120
0.197	-0.220	0.200
0.200	-0.070	0.310
0.203	0.120	0.435
0.206	0.375	0.535
0.208	0.620	0.580
0.211	0.780	0.475
0.214	0.840	0.210
0.217	0.765	-0.085
0.219	0.520	-0.230
0.222	0.170	-0.250
0.225	-0.165	-0.215
0.228	-0.365	-0.180
0.231	-0.435	-0.185
0.233	-0.425	-0.160
0.236	-0.370	-0.150
0.239	-0.330	-0.150
0.242	-0.325	-0.180
0.244	-0.335	-0.180
0.247	-0.345	-0.160
0.250	-0.330	-0.165
0.253	-0.325	-0.170
0.256	-0.315	-0.165
0.258	-0.310	-0.185
0.261	-0.320	-0.185
0.264	-0.335	-0.185
0.267	-0.340	-0.170
0.269	-0.325	-0.160
0.272	-0.345	-0.155
0.275	-0.335	-0.175
0.278	-0.330	-0.195
0.281	-0.335	-0.185
0.283	-0.330	-0.185
0.286	-0.325	-0.175
0.289	-0.330	-0.175
0.292	-0.330	-0.195
0.294	-0.345	-0.190
0.297	-0.355	-0.180
0.300	-0.335	-0.165
0.303	-0.325	-0.170
0.306	-0.305	-0.170
0.308	-0.320	-0.170
0.311	-0.320	-0.190
0.314	-0.330	-0.185
0.317	-0.340	-0.180
0.319	-0.335	-0.170
0.322	-0.340	-0.175
0.325	-0.345	-0.190
0.328	-0.355	-0.200
0.331	-0.355	-0.195
0.333	-0.340	-0.185
0.336	-0.330	-0.170
0.339	-0.330	-0.170
0.342	-0.330	-0.185
0.344	-0.340	-0.195
0.347	-0.350	-0.175
0.350	-0.325	-0.200
0.353	-0.325	-0.185
0.356	-0.330	-0.180
0.358	-0.330	-0.185
0.361	-0.335	-0.205
0.364	-0.335	-0.190
0.367	-0.340	-0.180
0.369	-0.330	-0.185
0.372	-0.340	-0.200
0.375	-0.350	-0.215
0.378	-0.355	-0.205
0.381	-0.350	-0.210
0.383	-0.345	-0.200
0.386	-0.330	-0.185
0.389	-0.320	-0.205
0.392	-0.335	-0.200
0.394	-0.330	-0.210
0.397	-0.345	-0.205
0.400	-0.330	-0.185
0.403	-0.335	-0.185
0.406	-0.335	-0.200
0.408	-0.345	-0.215
0.411	-0.345	-0.225
0.414	-0.355	-0.220
0.417	-0.340	-0.200
0.419	-0.340	-0.200
0.422	-0.335	-0.215
0.425	-0.330	-0.225
0.428	-0.350	-0.235
0.431	-0.350	-0.245
0.433	-0.345	-0.240
0.436	-0.335	-0.240
0.439	-0.335	-0.240
0.442	-0.335	-0.245
0.444	-0.350	-0.260
0.447	-0.355	-0.260
0.450	-0.355	-0.265
0.453	-0.345	-0.265
0.456	-0.345	-0.280
0.458	-0.335	-0.285
0.461	-0.350	-0.295
0.464	-0.360	-0.295
0.467	-0.360	-0.300
0.469	-0.360	-0.290
0.472	-0.365	-0.300
0.475	-0.360	-0.315
0.478	-0.370	-0.315
0.481	-0.385	-0.315
0.483	-0.370	-0.315
0.486	-0.360	-0.310
0.489	-0.355	-0.310
0.492	-0.360	-0.325
0.494	-0.375	-0.330
0.497	-0.375	-0.325
0.500	-0.365	-0.315
0.503	-0.365	-0.305
0.506	-0.360	-0.305
0.508	-0.360	-0.290
0.511	-0.365	-0.290
0.514	-0.370	-0.275
