Time MLII[mV] V5[mV]
0.000 -0.345 -0.160
0.003 -0.345 -0.160
0.006 -0.345 -0.160
0.008 -0.345 -0.160h
0.011 -0.345 -0.160
0.014 -0.345 -0.160
0.017 -0.345 -0.160
0.019 -0.345 -0.160
0.022 -0.330 -0.150
0.025 -0.320 -0.145
0.028 -0.320 -0.170
0.031 -0.325 -0.180
0.033 -0.330 -0.170
0.036 -0.325 -0.150
0.039 -0.315 -0.160
0.042 -0.305 -0.170
0.044 -0.300 -0.185
0.047 -0.315 -0.195
0.050 -0.320 -0.185
0.053 -0.315 -0.185
0.056 -0.300 -0.175
0.058 -0.290 -0.200
0.061 -0.290 -0.190
0.064 -0.295 -0.205
0.067 -0.290 -0.195
0.069 -0.295 -0.175
0.072 -0.285 -0.175
0.075 -0.255 -0.190
0.078 -0.230 -0.200
0.081 -0.200 -0.215
0.083 -0.195 -0.210
0.086 -0.160 -0.210
0.089 -0.160 -0.190
0.092 -0.165 -0.220
0.094 -0.200 -0.225
0.097 -0.200 -0.245
0.100 -0.210 -0.235
0.103 -0.210 -0.215
0.106 -0.205 -0.225
0.108 -0.210 -0.235
0.111 -0.210 -0.240
0.114 -0.220 -0.245
0.117 -0.250 -0.225
0.119 -0.250 -0.215
0.122 -0.250 -0.205
0.125 -0.260 -0.205
0.128 -0.265 -0.205
0.131 -0.275 -0.195
0.133 -0.305 -0.190
0.136 -0.320 -0.175
0.139 -0.330 -0.180
0.142 -0.320 -0.180
0.144 -0.320 -0.200
0.147 -0.315 -0.200
0.150 -0.340 -0.185
0.153 -0.350 -0.180
0.156 -0.335 -0.175
0.158 -0.320 -0.200
0.161 -0.310 -0.200
0.164 -0.335 -0.205
0.167 -0.345 -0.205
0.169 -0.350 -0.200
0.172 -0.350 -0.195
0.175 -0.355 -0.215
0.178 -0.350 -0.215
0.181 -0.350 -0.220
0.183 -0.370 -0.215
0.186 -0.360 -0.220
0.189 -0.345 -0.220
0.192 -0.325 -0.220
0.194 -0.325 -0.220
0.197 -0.335 -0.230
0.200 -0.370 -0.245
0.203 -0.400 -0.235
0.206 -0.400 -0.230
0.208 -0.395 -0.230
0.211 -0.350 -0.240
0.214 -0.210 -0.240
0.217 -0.010 -0.240
0.219 0.245 -0.245
0.222 0.530 -0.250
0.225 0.850 -0.285
0.228 1.085 -0.315
0.231 1.065 -0.375
0.233 0.815 -0.400
0.236 0.480 -0.410
0.239 0.210 -0.365
0.242 -0.010 -0.295
0.244 -0.145 -0.230
0.247 -0.185 -0.200
0.250 -0.240 -0.200
0.253 -0.285 -0.215
0.256 -0.285 -0.205
0.258 -0.285 -0.195
0.261 -0.290 -0.180
0.264 -0.300 -0.190
0.267 -0.335 -0.200
0.269 -0.360 -0.200
0.272 -0.360 -0.185
0.275 -0.385 -0.180
0.278 -0.395 -0.195
0.281 -0.415 -0.210
0.283 -0.430 -0.230
0.286 -0.435 -0.225
0.289 -0.405 -0.200
0.292 -0.410 -0.205
0.294 -0.405 -0.210
0.297 -0.415 -0.225
0.300 -0.440 -0.225
0.303 -0.430 -0.210
0.306 -0.415 -0.190
0.308 -0.420 -0.190
0.311 -0.415 -0.225
0.314 -0.420 -0.230
0.317 -0.430 -0.245
0.319 -0.440 -0.235
0.322 -0.425 -0.225
0.325 -0.415 -0.225
0.328 -0.425 -0.240
0.331 -0.430 -0.250
0.333 -0.425 -0.250
0.336 -0.415 -0.230
0.339 -0.420 -0.220
0.342 -0.415 -0.230
0.344 -0.420 -0.235
0.347 -0.420 -0.240
0.350 -0.435 -0.225
0.353 -0.415 -0.210
0.356 -0.415 -0.200
0.358 -0.400 -0.185
0.361 -0.395 -0.190
0.364 -0.410 -0.210
0.367 -0.425 -0.195
0.369 -0.415 -0.180
0.372 -0.405 -0.175
0.375 -0.395 -0.180
0.378 -0.400 -0.195
0.381 -0.410 -0.200
0.383 -0.420 -0.185
0.386 -0.410 -0.195
0.389 -0.395 -0.195
0.392 -0.380 -0.210
0.394 -0.390 -0.215
0.397 -0.400 -0.220
0.400 -0.415 -0.210
0.403 -0.420 -0.205
0.406 -0.385 -0.210
0.408 -0.375 -0.220
0.411 -0.380 -0.205
0.414 -0.375 -0.215
0.417 -0.365 -0.210
0.419 -0.350 -0.210
0.422 -0.350 -0.215
0.425 -0.350 -0.220
0.428 -0.340 -0.235
