Time,MLII [mV],V5 [mV]
0.000,-0.925,-0.470
0.003,-0.925,-0.470
0.006,-0.925,-0.470
0.008,-0.925,-0.470
0.011,-0.925,-0.470
0.014,-0.925,-0.470
0.017,-0.925,-0.470
0.019,-0.920,-0.470
0.022,-0.920,-0.470
0.025,-0.940,-0.485
0.028,-0.940,-0.490
0.031,-0.955,-0.510
0.033,-0.970,-0.515
0.036,-0.970,-0.515
0.039,-0.980,-0.515
0.042,-0.980,-0.505
0.044,-0.965,-0.500
0.047,-0.950,-0.505
0.050,-0.940,-0.480
0.053,-0.910,-0.475
0.056,-0.925,-0.505
0.058,-0.930,-0.500
0.061,-0.945,-0.530
0.064,-0.950,-0.510
0.067,-0.960,-0.530
0.069,-0.960,-0.535
0.072,-0.965,-0.515
0.075,-0.970,-0.525
0.078,-0.965,-0.510
0.081,-0.970,-0.505
0.083,-0.985,-0.495
0.086,-0.950,-0.500
0.089,-0.950,-0.525
0.092,-0.950,-0.505
0.094,-0.930,-0.525
0.097,-0.925,-0.540
0.100,-0.940,-0.535
0.103,-0.950,-0.545
0.106,-0.970,-0.540
0.108,-0.955,-0.540
0.111,-0.960,-0.515
0.114,-0.960,-0.505
0.117,-0.945,-0.505
0.119,-0.930,-0.510
0.122,-0.925,-0.505
0.125,-0.940,-0.520
0.128,-0.940,-0.525
0.131,-0.940,-0.525
0.133,-0.955,-0.545
0.136,-0.950,-0.545
0.139,-0.980,-0.550
0.142,-0.960,-0.530
0.144,-0.965,-0.530
0.147,-0.945,-0.510
0.150,-0.950,-0.515
0.153,-0.945,-0.500
0.156,-0.945,-0.510
0.158,-0.955,-0.525
0.161,-0.960,-0.530
0.164,-0.955,-0.530
0.167,-0.970,-0.545
0.169,-0.980,-0.555
0.172,-0.970,-0.540
0.175,-0.975,-0.520
0.178,-0.965,-0.525
0.181,-0.950,-0.515
0.183,-0.950,-0.515
0.186,-0.935,-0.510
0.189,-0.930,-0.515
0.192,-0.930,-0.525
0.194,-0.940,-0.535
0.197,-0.935,-0.550
0.200,-0.950,-0.570
0.203,-0.970,-0.555
0.206,-0.965,-0.560
0.208,-0.965,-0.555
0.211,-0.970,-0.530
0.214,-0.970,-0.520
0.217,-0.960,-0.520
0.219,-0.930,-0.520
0.222,-0.950,-0.530
0.225,-0.960,-0.525
0.228,-0.975,-0.545
0.231,-0.955,-0.535
0.233,-0.960,-0.565
0.236,-0.960,-0.560
0.239,-0.960,-0.560
0.242,-0.970,-0.550
