Time[s] MLII[mV] MLII_Filtered[mV] V5[mV] V5_Filterred[mV]
0 -0.145 -0.14159 -0.065 -0.0666574
0.003 -0.145 -0.140673 -0.065 -0.0667489
0.006 -0.145 -0.139582 -0.065 -0.0677591
0.008 -0.145 -0.139447 -0.065 -0.0690323
0.011 -0.145 -0.139508 -0.065 -0.0701013
0.014 -0.145 -0.139327 -0.065 -0.0712291
0.017 -0.145 -0.139879 -0.065 -0.0725237
0.019 -0.145 -0.141223 -0.065 -0.0733949
0.022 -0.12 -0.144516 -0.08 -0.0734407
0.025 -0.135 -0.146907 -0.08 -0.0746224
0.028 -0.145 -0.148562 -0.085 -0.0753302
0.031 -0.15 -0.150937 -0.085 -0.0735028
0.033 -0.16 -0.153251 -0.075 -0.0702468
0.036 -0.155 -0.156819 -0.07 -0.0670546
0.039 -0.16 -0.162022 -0.07 -0.0640487
0.042 -0.175 -0.167689 -0.065 -0.0624534
0.044 -0.18 -0.17093 -0.055 -0.06034
0.047 -0.185 -0.171561 -0.05 -0.0585616
0.05 -0.17 -0.171754 -0.05 -0.0565103
0.053 -0.155 -0.168733 -0.04 -0.0560804
0.056 -0.175 -0.16814 -0.04 -0.0571151
0.058 -0.18 -0.167723 -0.055 -0.059302
0.061 -0.19 -0.168573 -0.075 -0.0619418
0.064 -0.18 -0.170878 -0.08 -0.0648447
0.067 -0.155 -0.173364 -0.085 -0.0674763
0.069 -0.135 -0.177723 -0.07 -0.0726855
0.072 -0.155 -0.184653 -0.08 -0.0805835
0.075 -0.19 -0.194 -0.08 -0.088269
0.078 -0.205 -0.205312 -0.09 -0.0942579
0.081 -0.235 -0.215268 -0.095 -0.0987136
0.083 -0.225 -0.223385 -0.09 -0.10102
0.086 -0.245 -0.231978 -0.095 -0.103338
0.089 -0.25 -0.241357 -0.11 -0.10584
0.092 -0.26 -0.251785 -0.12 -0.109823
0.094 -0.275 -0.261474 -0.145 -0.113588
0.097 -0.275 -0.268648 -0.135 -0.116631
0.1 -0.275 -0.271464 -0.105 -0.117254
0.103 -0.265 -0.272666 -0.095 -0.118321
0.106 -0.255 -0.275822 -0.105 -0.119637
0.108 -0.265 -0.278774 -0.12 -0.121317
0.111 -0.275 -0.282259 -0.135 -0.12185
0.114 -0.29 -0.283287 -0.125 -0.121432
0.117 -0.29 -0.284214 -0.125 -0.120785
0.119 -0.29 -0.283575 -0.115 -0.121254
0.122 -0.29 -0.284456 -0.115 -0.12389
0.125 -0.285 -0.285641 -0.125 -0.129392
0.128 -0.295 -0.28823 -0.14 -0.133645
0.131 -0.305 -0.289843 -0.14 -0.134877
0.133 -0.285 -0.289872 -0.13 -0.133271
0.136 -0.275 -0.287924 -0.125 -0.130373
0.139 -0.275 -0.286337 -0.14 -0.129562
0.142 -0.28 -0.284887 -0.145 -0.131263
0.144 -0.285 -0.284129 -0.15 -0.132841
0.147 -0.305 -0.283853 -0.15 -0.134653
0.15 -0.29 -0.286004 -0.13 -0.135566
0.153 -0.3 -0.289153 -0.115 -0.14015
0.156 -0.28 -0.291484 -0.125 -0.15091
0.158 -0.29 -0.296456 -0.135 -0.169188
0.161 -0.3 -0.306499 -0.16 -0.190013
0.164 -0.315 -0.322014 -0.195 -0.209008
0.167 -0.32 -0.342656 -0.2 -0.223112
0.169 -0.335 -0.366383 -0.205 -0.232916
0.172 -0.36 -0.392285 -0.225 -0.238074
0.175 -0.385 -0.418308 -0.255 -0.23731
0.178 -0.385 -0.444413 -0.3 -0.226566
0.181 -0.405 -0.461039 -0.29 -0.199771
0.183 -0.455 -0.459742 -0.235 -0.149081
0.186 -0.485 -0.430605 -0.13 -0.0728261
0.189 -0.485 -0.369704 -0.035 0.0201373
0.192 -0.425 -0.273903 0.05 0.109438
0.194 -0.33 -0.149217 0.12 0.181579
0.197 -0.22 -0.009696 0.2 0.234485
0.2 -0.07 0.124034 0.31 0.269235
0.203 0.12 0.236522 0.435 0.287659
0.206 0.375 0.320279 0.535 0.28619
0.208 0.62 0.374663 0.58 0.26383
0.211 0.78 0.400546 0.475 0.224408
0.214 0.84 0.397618 0.21 0.173549
0.217 0.765 0.366554 -0.085 0.114763
0.219 0.52 0.308197 -0.23 0.049799
0.222 0.17 0.225762 -0.25 -0.0164923
0.225 -0.165 0.125229 -0.215 -0.0820154
0.228 -0.365 0.0110886 -0.18 -0.143248
0.231 -0.435 -0.108341 -0.185 -0.191974
0.233 -0.425 -0.222507 -0.16 -0.223253
0.236 -0.37 -0.31765 -0.15 -0.233021
0.239 -0.33 -0.38467 -0.15 -0.221293
0.242 -0.325 -0.420979 -0.18 -0.196813
0.244 -0.335 -0.424024 -0.18 -0.174921
0.247 -0.345 -0.402416 -0.16 -0.16466
0.25 -0.33 -0.369848 -0.165 -0.163012
0.253 -0.325 -0.340695 -0.17 -0.166156
0.256 -0.315 -0.324696 -0.165 -0.169124
0.258 -0.31 -0.320459 -0.185 -0.171373
0.261 -0.32 -0.32252 -0.185 -0.174425
0.264 -0.335 -0.326858 -0.185 -0.174658
0.267 -0.34 -0.328542 -0.17 -0.174539
0.269 -0.325 -0.327913 -0.16 -0.174603
0.272 -0.345 -0.328694 -0.155 -0.177395
0.275 -0.335 -0.330789 -0.175 -0.179653
0.278 -0.33 -0.334791 -0.195 -0.180059
0.281 -0.335 -0.336273 -0.185 -0.180147
0.283 -0.33 -0.33701 -0.185 -0.178955
0.286 -0.325 -0.335837 -0.175 -0.177772
0.289 -0.33 -0.333155 -0.175 -0.178444
0.292 -0.33 -0.331229 -0.195 -0.179977
0.294 -0.345 -0.330075 -0.19 -0.181239
0.297 -0.355 -0.329461 -0.18 -0.180521
0.3 -0.335 -0.327628 -0.165 -0.17849
0.303 -0.325 -0.328025 -0.17 -0.176303
0.306 -0.305 -0.329438 -0.17 -0.176022
0.308 -0.32 -0.331162 -0.17 -0.178236
0.311 -0.32 -0.333027 -0.19 -0.179655
0.314 -0.33 -0.334318 -0.185 -0.180047
0.317 -0.34 -0.334305 -0.18 -0.179305
0.319 -0.335 -0.334013 -0.17 -0.179943
0.322 -0.34 -0.335395 -0.175 -0.180562
0.325 -0.345 -0.337568 -0.19 -0.182672
0.328 -0.355 -0.340379 -0.2 -0.184593
0.331 -0.355 -0.341999 -0.195 -0.184799
0.333 -0.34 -0.34238 -0.185 -0.183848
0.336 -0.33 -0.340695 -0.17 -0.183988
0.339 -0.33 -0.339037 -0.17 -0.184361
0.342 -0.33 -0.337514 -0.185 -0.185556
0.344 -0.34 -0.335533 -0.195 -0.185633
0.347 -0.35 -0.333748 -0.175 -0.184886
0.35 -0.325 -0.331739 -0.2 -0.18449
0.353 -0.325 -0.330902 -0.185 -0.18416
0.356 -0.33 -0.331205 -0.18 -0.185865
0.358 -0.33 -0.333656 -0.185 -0.189572
0.361 -0.335 -0.336986 -0.205 -0.191849
0.364 -0.335 -0.338213 -0.19 -0.194124
0.367 -0.34 -0.338924 -0.18 -0.194544
0.369 -0.33 -0.338388 -0.185 -0.194998
0.372 -0.34 -0.338748 -0.2 -0.197393
0.375 -0.35 -0.339273 -0.215 -0.199987
0.378 -0.355 -0.340773 -0.205 -0.199611
0.381 -0.35 -0.339925 -0.21 -0.200072
0.383 -0.345 -0.338962 -0.2 -0.199364
0.386 -0.33 -0.337712 -0.185 -0.198926
0.389 -0.32 -0.337553 -0.205 -0.200024
0.392 -0.335 -0.337551 -0.2 -0.202331
0.394 -0.33 -0.33769 -0.21 -0.202551
0.397 -0.345 -0.338249 -0.205 -0.201335
0.4 -0.33 -0.33651 -0.185 -0.199889
0.403 -0.335 -0.335673 -0.185 -0.199465
0.406 -0.335 -0.336329 -0.2 -0.201615
0.408 -0.345 -0.338493 -0.215 -0.204063
0.411 -0.345 -0.340598 -0.225 -0.207707
0.414 -0.355 -0.342522 -0.22 -0.210986
0.417 -0.34 -0.342385 -0.2 -0.212571
0.419 -0.34 -0.341131 -0.2 -0.216214
0.422 -0.335 -0.34101 -0.215 -0.219887
0.425 -0.33 -0.341226 -0.225 -0.22501
0.428 -0.35 -0.34246 -0.235 -0.229554
0.431 -0.35 -0.343079 -0.245 -0.232823
0.433 -0.345 -0.342617 -0.24 -0.2355
0.436 -0.335 -0.341538 -0.24 -0.239482
0.439 -0.335 -0.341566 -0.24 -0.244693
0.442 -0.335 -0.342092 -0.245 -0.251929
0.444 -0.35 -0.343691 -0.26 -0.258506
0.447 -0.355 -0.345147 -0.26 -0.262702
0.45 -0.355 -0.346224 -0.265 -0.266612
0.453 -0.345 -0.346437 -0.265 -0.271213
0.456 -0.345 -0.347641 -0.28 -0.276242
0.458 -0.335 -0.350997 -0.285 -0.282028
0.461 -0.35 -0.35473 -0.295 -0.288218
0.464 -0.36 -0.357643 -0.295 -0.292751
0.467 -0.36 -0.358676 -0.3 -0.296701
0.469 -0.36 -0.359611 -0.29 -0.300507
0.472 -0.365 -0.360876 -0.3 -0.304447
0.475 -0.36 -0.362824 -0.315 -0.309026
0.478 -0.37 -0.365299 -0.315 -0.312354
0.481 -0.385 -0.367553 -0.315 -0.315574
0.483 -0.37 -0.368388 -0.315 -0.316971
0.486 -0.36 -0.36847 -0.31 -0.318656
0.489 -0.355 -0.368104 -0.31 -0.319184
0.492 -0.36 -0.369181 -0.325 -0.320173
0.494 -0.375 -0.369854 -0.33 -0.319251
0.497 -0.375 -0.369228 -0.325 -0.31604
0.5 -0.365 -0.366858 -0.315 -0.310422
0.503 -0.365 -0.3639 -0.305 -0.304828
0.506 -0.36 -0.361553 -0.305 -0.299751
0.508 -0.36 -0.359729 -0.29 -0.294707
0.511 -0.365 -0.358097 -0.29 -0.288112
0.514 -0.37 -0.355304 -0.275 -0.279923
0.517 -0.355 -0.350364 -0.27 -0.270098
0.519 -0.33 -0.34433 -0.245 -0.259868
0.522 -0.325 -0.337972 -0.24 -0.251226
